# The following table is formatted as tab separated values. 
#GeneName	GeneId	TranscriptId	BioType	variants_impact_HIGH	variants_impact_LOW	variants_impact_MODERATE	variants_effect_CODON_CHANGE_PLUS_CODON_DELETION	variants_effect_CODON_DELETION	variants_effect_FRAME_SHIFT	variants_effect_NON_SYNONYMOUS_CODING	variants_effect_SPLICE_SITE_REGION	variants_effect_START_LOST	variants_effect_STOP_GAINED	variants_effect_STOP_LOST	variants_effect_SYNONYMOUS_CODING	variants_effect_SYNONYMOUS_STOP
E	GU280_gp04	GU280_gp04	protein_coding	2	0	4	0	0	1	4	0	1	0	0	0	0
M	GU280_gp05	GU280_gp05	protein_coding	21	12	46	2	0	19	45	0	0	2	0	12	0
N	GU280_gp10	GU280_gp10	protein_coding	23	11	38	1	0	21	37	0	2	2	0	11	0
ORF10	GU280_gp11	GU280_gp11	protein_coding	5	1	7	1	0	4	6	1	0	0	1	1	0
ORF1ab	GU280_gp01	GU280_gp01	protein_coding	310	172	676	16	8	277	652	0	0	40	0	172	0
ORF1ab	GU280_gp01	GU280_gp01.2	protein_coding	180	93	397	10	4	160	383	1	0	24	0	92	1
ORF1ab	GU280_gp01	YP_009725297.1	protein_coding	8	4	20	2	0	8	18	0	0	0	0	4	0
ORF1ab	GU280_gp01	YP_009725298.1	protein_coding	32	18	86	0	0	28	86	2	0	4	0	18	0
ORF1ab	GU280_gp01	YP_009725299.1	protein_coding	91	45	167	5	2	80	160	1	0	14	0	45	0
ORF1ab	GU280_gp01	YP_009725300.1	protein_coding	16	3	13	0	0	15	13	0	0	1	0	3	0
ORF1ab	GU280_gp01	YP_009725301.1	protein_coding	15	6	22	0	1	14	21	0	0	2	0	6	0
ORF1ab	GU280_gp01	YP_009725302.1	protein_coding	7	9	32	1	0	6	31	0	0	1	0	9	0
ORF1ab	GU280_gp01	YP_009725303.1	protein_coding	3	2	14	0	0	3	14	0	0	0	0	2	0
ORF1ab	GU280_gp01	YP_009725304.1	protein_coding	5	3	18	0	1	5	17	0	0	0	0	3	0
ORF1ab	GU280_gp01	YP_009725305.1	protein_coding	1	1	5	0	0	0	5	0	0	1	0	1	0
ORF1ab	GU280_gp01	YP_009725306.1	protein_coding	2	1	20	2	0	1	18	0	0	1	0	1	0
ORF1ab	GU280_gp01	YP_009725307.1	protein_coding	45	33	79	1	2	39	76	0	0	7	0	33	0
ORF1ab	GU280_gp01	YP_009725308.1	protein_coding	19	9	56	3	1	18	52	0	0	1	0	9	0
ORF1ab	GU280_gp01	YP_009725309.1	protein_coding	29	18	76	2	1	27	73	0	0	3	0	18	0
ORF1ab	GU280_gp01	YP_009725310.1	protein_coding	18	11	32	0	0	16	32	0	0	3	0	11	0
ORF1ab	GU280_gp01	YP_009725311.1	protein_coding	19	9	36	0	0	17	36	0	0	2	0	9	0
ORF1ab	GU280_gp01	YP_009742608.1	protein_coding	8	4	20	2	0	8	18	0	0	0	0	4	0
ORF1ab	GU280_gp01	YP_009742609.1	protein_coding	32	18	86	0	0	28	86	2	0	4	0	18	0
ORF1ab	GU280_gp01	YP_009742610.1	protein_coding	91	45	167	5	2	80	160	1	0	14	0	45	0
ORF1ab	GU280_gp01	YP_009742611.1	protein_coding	16	3	13	0	0	15	13	0	0	1	0	3	0
ORF1ab	GU280_gp01	YP_009742612.1	protein_coding	15	6	22	0	1	14	21	0	0	2	0	6	0
ORF1ab	GU280_gp01	YP_009742613.1	protein_coding	7	9	32	1	0	6	31	0	0	1	0	9	0
ORF1ab	GU280_gp01	YP_009742614.1	protein_coding	3	2	14	0	0	3	14	0	0	0	0	2	0
ORF1ab	GU280_gp01	YP_009742615.1	protein_coding	5	3	18	0	1	5	17	0	0	0	0	3	0
ORF1ab	GU280_gp01	YP_009742616.1	protein_coding	1	1	5	0	0	0	5	0	0	1	0	1	0
ORF1ab	GU280_gp01	YP_009742617.1	protein_coding	2	1	20	2	0	1	18	0	0	1	0	1	0
ORF3a	GU280_gp03	GU280_gp03	protein_coding	15	3	21	0	0	11	21	1	0	3	1	3	0
ORF6	GU280_gp06	GU280_gp06	protein_coding	1	3	4	0	0	1	4	0	0	0	0	3	0
ORF7a	GU280_gp07	GU280_gp07	protein_coding	10	3	17	0	0	7	17	0	1	2	0	3	0
ORF7b	GU280_gp08	GU280_gp08	protein_coding	3	1	5	0	0	3	5	0	0	0	0	1	0
ORF8	GU280_gp09	GU280_gp09	protein_coding	8	4	7	2	1	6	5	0	0	2	0	4	0
S	GU280_gp02	GU280_gp02	protein_coding	55	25	99	2	2	49	95	0	0	6	0	25	0
