# The following table is formatted as tab separated values. 
#GeneName	GeneId	TranscriptId	BioType	variants_impact_HIGH	variants_impact_LOW	variants_impact_MODERATE	variants_effect_CODON_CHANGE_PLUS_CODON_DELETION	variants_effect_CODON_CHANGE_PLUS_CODON_INSERTION	variants_effect_CODON_DELETION	variants_effect_CODON_INSERTION	variants_effect_FRAME_SHIFT	variants_effect_NON_SYNONYMOUS_CODING	variants_effect_SPLICE_SITE_REGION	variants_effect_START_LOST	variants_effect_STOP_GAINED	variants_effect_STOP_LOST	variants_effect_SYNONYMOUS_CODING
E	GU280_gp04	GU280_gp04	protein_coding	3	1	3	0	0	0	0	3	3	0	0	0	0	1
M	GU280_gp05	GU280_gp05	protein_coding	13	9	29	3	0	2	0	12	25	0	0	2	0	9
N	GU280_gp10	GU280_gp10	protein_coding	10	10	28	2	0	0	0	10	26	0	1	0	0	10
ORF10	GU280_gp11	GU280_gp11	protein_coding	3	0	0	0	0	0	0	2	0	1	0	0	1	0
ORF1ab	GU280_gp01	GU280_gp01	protein_coding	112	99	306	6	0	4	1	100	295	0	0	12	0	99
ORF1ab	GU280_gp01	GU280_gp01.2	protein_coding	65	64	187	4	0	3	1	60	179	1	0	5	1	64
ORF1ab	GU280_gp01	YP_009725297.1	protein_coding	5	4	17	2	0	2	0	5	13	0	0	0	0	4
ORF1ab	GU280_gp01	YP_009725298.1	protein_coding	9	9	31	0	0	0	0	9	31	0	0	0	0	9
ORF1ab	GU280_gp01	YP_009725299.1	protein_coding	27	28	66	1	0	0	1	23	64	0	0	4	0	28
ORF1ab	GU280_gp01	YP_009725300.1	protein_coding	7	3	12	0	0	0	0	7	12	0	0	0	0	3
ORF1ab	GU280_gp01	YP_009725301.1	protein_coding	2	8	14	1	0	0	0	2	13	0	0	0	0	8
ORF1ab	GU280_gp01	YP_009725302.1	protein_coding	7	3	14	0	0	1	0	6	13	0	0	1	0	3
ORF1ab	GU280_gp01	YP_009725303.1	protein_coding	1	2	5	0	0	0	0	1	5	0	0	0	0	2
ORF1ab	GU280_gp01	YP_009725304.1	protein_coding	4	7	16	0	0	0	0	4	16	0	0	0	0	7
ORF1ab	GU280_gp01	YP_009725305.1	protein_coding	1	0	1	0	0	0	0	1	1	0	0	0	0	0
ORF1ab	GU280_gp01	YP_009725306.1	protein_coding	1	0	11	0	0	0	0	1	11	0	0	0	0	0
ORF1ab	GU280_gp01	YP_009725307.1	protein_coding	14	18	35	1	0	0	0	12	34	0	0	2	0	18
ORF1ab	GU280_gp01	YP_009725308.1	protein_coding	7	1	25	0	0	0	0	7	25	0	0	0	0	1
ORF1ab	GU280_gp01	YP_009725309.1	protein_coding	14	9	31	0	0	0	0	11	31	1	0	3	0	9
ORF1ab	GU280_gp01	YP_009725310.1	protein_coding	8	5	16	1	0	1	0	6	14	0	0	2	0	5
ORF1ab	GU280_gp01	YP_009725311.1	protein_coding	5	2	12	0	0	0	0	5	12	1	0	0	0	2
ORF1ab	GU280_gp01	YP_009725312.1	protein_coding	1	0	0	0	0	0	0	1	0	1	0	0	0	0
ORF1ab	GU280_gp01	YP_009742608.1	protein_coding	5	4	17	2	0	2	0	5	13	0	0	0	0	4
ORF1ab	GU280_gp01	YP_009742609.1	protein_coding	9	9	31	0	0	0	0	9	31	0	0	0	0	9
ORF1ab	GU280_gp01	YP_009742610.1	protein_coding	27	28	66	1	0	0	1	23	64	0	0	4	0	28
ORF1ab	GU280_gp01	YP_009742611.1	protein_coding	7	3	12	0	0	0	0	7	12	0	0	0	0	3
ORF1ab	GU280_gp01	YP_009742612.1	protein_coding	2	8	14	1	0	0	0	2	13	0	0	0	0	8
ORF1ab	GU280_gp01	YP_009742613.1	protein_coding	7	3	14	0	0	1	0	6	13	0	0	1	0	3
ORF1ab	GU280_gp01	YP_009742614.1	protein_coding	1	2	5	0	0	0	0	1	5	0	0	0	0	2
ORF1ab	GU280_gp01	YP_009742615.1	protein_coding	4	7	16	0	0	0	0	4	16	0	0	0	0	7
ORF1ab	GU280_gp01	YP_009742616.1	protein_coding	1	0	1	0	0	0	0	1	1	0	0	0	0	0
ORF1ab	GU280_gp01	YP_009742617.1	protein_coding	1	0	11	0	0	0	0	1	11	0	0	0	0	0
ORF3a	GU280_gp03	GU280_gp03	protein_coding	9	3	19	0	1	0	0	8	18	0	0	1	0	3
ORF6	GU280_gp06	GU280_gp06	protein_coding	2	0	3	0	0	0	0	1	3	0	0	1	0	0
ORF7a	GU280_gp07	GU280_gp07	protein_coding	2	0	2	0	0	0	0	2	2	0	0	0	0	0
ORF7b	GU280_gp08	GU280_gp08	protein_coding	1	0	0	0	0	0	0	1	0	0	0	0	0	0
ORF8	GU280_gp09	GU280_gp09	protein_coding	5	2	5	0	0	0	0	4	5	0	0	1	0	2
S	GU280_gp02	GU280_gp02	protein_coding	26	22	62	3	0	1	0	23	58	0	0	3	0	22
