# The following table is formatted as tab separated values. 
#GeneName	GeneId	TranscriptId	BioType	variants_impact_HIGH	variants_impact_LOW	variants_impact_MODERATE	variants_effect_CODON_CHANGE_PLUS_CODON_DELETION	variants_effect_CODON_DELETION	variants_effect_FRAME_SHIFT	variants_effect_NON_SYNONYMOUS_CODING	variants_effect_NON_SYNONYMOUS_START	variants_effect_SPLICE_SITE_REGION	variants_effect_START_LOST	variants_effect_STOP_GAINED	variants_effect_STOP_LOST	variants_effect_SYNONYMOUS_CODING
E	GU280_gp04	GU280_gp04	protein_coding	6	1	3	0	0	4	3	1	0	2	1	0	0
M	GU280_gp05	GU280_gp05	protein_coding	11	6	20	1	0	11	19	0	2	0	0	2	6
N	GU280_gp10	GU280_gp10	protein_coding	18	6	32	4	3	17	26	0	0	1	0	0	6
ORF10	GU280_gp11	GU280_gp11	protein_coding	1	1	1	0	0	1	1	0	0	0	0	0	1
ORF1ab	GU280_gp01	GU280_gp01	protein_coding	282	118	373	21	9	262	345	0	0	0	22	0	118
ORF1ab	GU280_gp01	GU280_gp01.2	protein_coding	161	68	231	13	6	150	213	0	0	0	12	0	68
ORF1ab	GU280_gp01	YP_009725297.1	protein_coding	7	3	24	4	3	7	17	0	0	0	0	0	3
ORF1ab	GU280_gp01	YP_009725298.1	protein_coding	23	10	41	1	0	22	40	0	0	0	1	0	10
ORF1ab	GU280_gp01	YP_009725299.1	protein_coding	77	36	84	3	1	71	80	0	0	0	7	0	36
ORF1ab	GU280_gp01	YP_009725300.1	protein_coding	14	5	14	0	1	13	13	0	0	0	1	0	5
ORF1ab	GU280_gp01	YP_009725301.1	protein_coding	7	4	16	0	0	7	16	0	0	0	0	0	4
ORF1ab	GU280_gp01	YP_009725302.1	protein_coding	15	5	20	3	1	13	17	0	0	0	2	0	5
ORF1ab	GU280_gp01	YP_009725303.1	protein_coding	6	0	11	1	0	6	10	0	1	0	0	0	0
ORF1ab	GU280_gp01	YP_009725304.1	protein_coding	8	4	11	0	0	7	11	0	0	0	1	0	4
ORF1ab	GU280_gp01	YP_009725305.1	protein_coding	2	0	1	0	0	2	1	0	0	0	0	0	0
ORF1ab	GU280_gp01	YP_009725306.1	protein_coding	2	1	8	1	0	2	7	0	0	0	0	0	1
ORF1ab	GU280_gp01	YP_009725307.1	protein_coding	34	15	45	1	1	30	43	0	0	0	4	0	15
ORF1ab	GU280_gp01	YP_009725308.1	protein_coding	25	6	30	2	0	23	29	0	0	0	2	0	6
ORF1ab	GU280_gp01	YP_009725309.1	protein_coding	32	14	34	3	1	31	30	0	0	0	2	0	14
ORF1ab	GU280_gp01	YP_009725310.1	protein_coding	22	11	23	0	1	21	22	0	0	0	1	0	11
ORF1ab	GU280_gp01	YP_009725311.1	protein_coding	8	4	11	2	0	7	9	0	0	0	1	0	4
ORF1ab	GU280_gp01	YP_009725312.1	protein_coding	0	0	1	0	0	0	1	0	0	0	0	0	0
ORF1ab	GU280_gp01	YP_009742608.1	protein_coding	7	3	24	4	3	7	17	0	0	0	0	0	3
ORF1ab	GU280_gp01	YP_009742609.1	protein_coding	23	10	41	1	0	22	40	0	0	0	1	0	10
ORF1ab	GU280_gp01	YP_009742610.1	protein_coding	77	36	84	3	1	71	80	0	0	0	7	0	36
ORF1ab	GU280_gp01	YP_009742611.1	protein_coding	14	5	14	0	1	13	13	0	0	0	1	0	5
ORF1ab	GU280_gp01	YP_009742612.1	protein_coding	7	4	16	0	0	7	16	0	0	0	0	0	4
ORF1ab	GU280_gp01	YP_009742613.1	protein_coding	15	5	20	3	1	13	17	0	0	0	2	0	5
ORF1ab	GU280_gp01	YP_009742614.1	protein_coding	6	0	11	1	0	6	10	0	1	0	0	0	0
ORF1ab	GU280_gp01	YP_009742615.1	protein_coding	8	4	11	0	0	7	11	0	0	0	1	0	4
ORF1ab	GU280_gp01	YP_009742616.1	protein_coding	2	0	1	0	0	2	1	0	0	0	0	0	0
ORF1ab	GU280_gp01	YP_009742617.1	protein_coding	2	1	8	1	0	2	7	0	0	0	0	0	1
ORF3a	GU280_gp03	GU280_gp03	protein_coding	6	5	13	0	0	6	13	0	0	0	0	0	5
ORF6	GU280_gp06	GU280_gp06	protein_coding	12	1	6	1	2	9	4	0	1	3	2	1	1
ORF7a	GU280_gp07	GU280_gp07	protein_coding	2	1	2	0	0	2	2	0	0	0	0	0	1
ORF7b	GU280_gp08	GU280_gp08	protein_coding	0	0	1	1	0	0	0	0	0	0	0	0	0
ORF8	GU280_gp09	GU280_gp09	protein_coding	5	2	6	0	1	5	5	0	0	0	0	0	2
S	GU280_gp02	GU280_gp02	protein_coding	53	15	91	10	2	49	79	0	0	0	5	0	15
