# The following table is formatted as tab separated values. 
#GeneName	GeneId	TranscriptId	BioType	variants_impact_HIGH	variants_impact_LOW	variants_impact_MODERATE	variants_effect_CODON_CHANGE_PLUS_CODON_DELETION	variants_effect_CODON_CHANGE_PLUS_CODON_INSERTION	variants_effect_CODON_DELETION	variants_effect_FRAME_SHIFT	variants_effect_NON_SYNONYMOUS_CODING	variants_effect_NON_SYNONYMOUS_START	variants_effect_START_LOST	variants_effect_STOP_GAINED	variants_effect_SYNONYMOUS_CODING
E	GU280_gp04	GU280_gp04	protein_coding	3	1	1	0	0	0	2	1	1	1	0	0
M	GU280_gp05	GU280_gp05	protein_coding	3	7	12	1	0	0	2	11	0	0	1	7
N	GU280_gp10	GU280_gp10	protein_coding	9	6	19	0	0	0	6	19	0	1	3	6
ORF10	GU280_gp11	GU280_gp11	protein_coding	0	2	0	0	0	0	0	0	0	0	0	2
ORF1ab	GU280_gp01	GU280_gp01	protein_coding	38	40	121	3	1	3	35	115	0	0	4	40
ORF1ab	GU280_gp01	GU280_gp01.2	protein_coding	24	24	60	2	0	2	23	56	0	0	2	24
ORF1ab	GU280_gp01	YP_009725297.1	protein_coding	2	2	8	1	0	0	2	7	0	0	0	2
ORF1ab	GU280_gp01	YP_009725298.1	protein_coding	2	6	15	0	0	0	2	15	0	0	0	6
ORF1ab	GU280_gp01	YP_009725299.1	protein_coding	11	7	18	1	0	0	10	17	0	0	2	7
ORF1ab	GU280_gp01	YP_009725300.1	protein_coding	1	3	6	0	0	1	1	5	0	0	0	3
ORF1ab	GU280_gp01	YP_009725301.1	protein_coding	1	3	4	0	0	0	1	4	0	0	0	3
ORF1ab	GU280_gp01	YP_009725302.1	protein_coding	6	1	5	0	0	1	6	4	0	0	0	1
ORF1ab	GU280_gp01	YP_009725304.1	protein_coding	1	1	1	0	0	0	1	1	0	0	0	1
ORF1ab	GU280_gp01	YP_009725306.1	protein_coding	0	1	3	0	0	0	0	3	0	0	0	1
ORF1ab	GU280_gp01	YP_009725307.1	protein_coding	2	6	17	1	0	0	2	16	0	0	0	6
ORF1ab	GU280_gp01	YP_009725308.1	protein_coding	3	1	16	0	0	0	3	16	0	0	0	1
ORF1ab	GU280_gp01	YP_009725309.1	protein_coding	5	8	12	0	1	0	3	12	0	0	2	8
ORF1ab	GU280_gp01	YP_009725310.1	protein_coding	3	0	9	0	0	1	3	8	0	0	0	0
ORF1ab	GU280_gp01	YP_009725311.1	protein_coding	1	1	7	0	0	0	1	7	0	0	0	1
ORF1ab	GU280_gp01	YP_009742608.1	protein_coding	2	2	8	1	0	0	2	7	0	0	0	2
ORF1ab	GU280_gp01	YP_009742609.1	protein_coding	2	6	15	0	0	0	2	15	0	0	0	6
ORF1ab	GU280_gp01	YP_009742610.1	protein_coding	11	7	18	1	0	0	10	17	0	0	2	7
ORF1ab	GU280_gp01	YP_009742611.1	protein_coding	1	3	6	0	0	1	1	5	0	0	0	3
ORF1ab	GU280_gp01	YP_009742612.1	protein_coding	1	3	4	0	0	0	1	4	0	0	0	3
ORF1ab	GU280_gp01	YP_009742613.1	protein_coding	6	1	5	0	0	1	6	4	0	0	0	1
ORF1ab	GU280_gp01	YP_009742615.1	protein_coding	1	1	1	0	0	0	1	1	0	0	0	1
ORF1ab	GU280_gp01	YP_009742617.1	protein_coding	0	1	3	0	0	0	0	3	0	0	0	1
ORF3a	GU280_gp03	GU280_gp03	protein_coding	2	1	8	0	0	0	1	8	0	0	1	1
ORF6	GU280_gp06	GU280_gp06	protein_coding	0	1	2	0	0	0	0	2	0	0	0	1
ORF7a	GU280_gp07	GU280_gp07	protein_coding	4	1	5	0	0	0	3	5	0	1	0	1
ORF7b	GU280_gp08	GU280_gp08	protein_coding	0	0	2	0	0	0	0	2	0	0	0	0
ORF8	GU280_gp09	GU280_gp09	protein_coding	2	1	6	0	0	0	1	6	0	0	1	1
S	GU280_gp02	GU280_gp02	protein_coding	11	7	36	3	0	2	10	31	0	0	1	7
