# The following table is formatted as tab separated values. 
#GeneName	GeneId	TranscriptId	BioType	variants_impact_HIGH	variants_impact_LOW	variants_impact_MODERATE	variants_effect_CODON_CHANGE_PLUS_CODON_DELETION	variants_effect_CODON_DELETION	variants_effect_FRAME_SHIFT	variants_effect_NON_SYNONYMOUS_CODING	variants_effect_SPLICE_SITE_REGION	variants_effect_START_LOST	variants_effect_STOP_GAINED	variants_effect_STOP_LOST	variants_effect_SYNONYMOUS_CODING
E	GU280_gp04	GU280_gp04	protein_coding	1	1	3	0	1	1	2	0	0	0	0	1
M	GU280_gp05	GU280_gp05	protein_coding	17	5	23	5	2	16	17	1	0	1	1	5
N	GU280_gp10	GU280_gp10	protein_coding	7	7	33	4	1	7	28	0	1	0	0	7
ORF10	GU280_gp11	GU280_gp11	protein_coding	2	0	0	0	0	2	0	0	0	0	0	0
ORF1ab	GU280_gp01	GU280_gp01	protein_coding	104	52	279	27	13	88	240	0	0	16	0	52
ORF1ab	GU280_gp01	GU280_gp01.2	protein_coding	62	31	182	13	8	54	162	0	0	8	0	31
ORF1ab	GU280_gp01	YP_009725297.1	protein_coding	14	1	19	5	3	14	11	0	0	0	0	1
ORF1ab	GU280_gp01	YP_009725298.1	protein_coding	4	7	31	0	0	4	31	0	0	0	0	7
ORF1ab	GU280_gp01	YP_009725299.1	protein_coding	31	14	73	6	4	25	64	0	0	6	0	14
ORF1ab	GU280_gp01	YP_009725300.1	protein_coding	4	5	16	0	0	2	16	0	0	2	0	5
ORF1ab	GU280_gp01	YP_009725301.1	protein_coding	3	3	8	0	1	3	7	0	0	0	0	3
ORF1ab	GU280_gp01	YP_009725302.1	protein_coding	3	0	13	1	0	3	12	0	0	0	0	0
ORF1ab	GU280_gp01	YP_009725303.1	protein_coding	0	1	3	0	0	0	3	0	0	0	0	1
ORF1ab	GU280_gp01	YP_009725304.1	protein_coding	1	0	9	0	0	1	9	0	0	0	0	0
ORF1ab	GU280_gp01	YP_009725305.1	protein_coding	2	0	4	0	0	2	4	0	0	0	0	0
ORF1ab	GU280_gp01	YP_009725306.1	protein_coding	0	0	6	1	0	0	5	0	0	0	0	0
ORF1ab	GU280_gp01	YP_009725307.1	protein_coding	12	6	28	8	3	8	17	0	0	4	0	6
ORF1ab	GU280_gp01	YP_009725308.1	protein_coding	4	6	19	2	0	3	17	0	0	1	0	6
ORF1ab	GU280_gp01	YP_009725309.1	protein_coding	9	3	26	3	1	7	22	0	0	2	0	3
ORF1ab	GU280_gp01	YP_009725310.1	protein_coding	12	6	17	1	1	11	15	0	0	1	0	6
ORF1ab	GU280_gp01	YP_009725311.1	protein_coding	5	0	7	0	0	5	7	0	0	0	0	0
ORF1ab	GU280_gp01	YP_009742608.1	protein_coding	14	1	19	5	3	14	11	0	0	0	0	1
ORF1ab	GU280_gp01	YP_009742609.1	protein_coding	4	7	31	0	0	4	31	0	0	0	0	7
ORF1ab	GU280_gp01	YP_009742610.1	protein_coding	31	14	73	6	4	25	64	0	0	6	0	14
ORF1ab	GU280_gp01	YP_009742611.1	protein_coding	4	5	16	0	0	2	16	0	0	2	0	5
ORF1ab	GU280_gp01	YP_009742612.1	protein_coding	3	3	8	0	1	3	7	0	0	0	0	3
ORF1ab	GU280_gp01	YP_009742613.1	protein_coding	3	0	13	1	0	3	12	0	0	0	0	0
ORF1ab	GU280_gp01	YP_009742614.1	protein_coding	0	1	3	0	0	0	3	0	0	0	0	1
ORF1ab	GU280_gp01	YP_009742615.1	protein_coding	1	0	9	0	0	1	9	0	0	0	0	0
ORF1ab	GU280_gp01	YP_009742616.1	protein_coding	2	0	4	0	0	2	4	0	0	0	0	0
ORF1ab	GU280_gp01	YP_009742617.1	protein_coding	0	0	6	1	0	0	5	0	0	0	0	0
ORF3a	GU280_gp03	GU280_gp03	protein_coding	11	8	20	0	2	9	18	0	0	2	0	8
ORF6	GU280_gp06	GU280_gp06	protein_coding	2	2	3	1	0	1	2	0	1	1	0	2
ORF7a	GU280_gp07	GU280_gp07	protein_coding	3	0	8	2	2	3	4	0	0	0	0	0
ORF7b	GU280_gp08	GU280_gp08	protein_coding	0	0	1	1	0	0	0	0	0	0	0	0
ORF8	GU280_gp09	GU280_gp09	protein_coding	3	2	8	1	1	3	6	0	0	0	0	2
S	GU280_gp02	GU280_gp02	protein_coding	22	10	67	6	7	19	54	0	0	3	0	10
